Id,MSSubClass,Zoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,Bsmt,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CeNotralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
54,20,Residential Low Density,68,50271,Pave,NA,IR1,Low,All Public Utilities,Inside,Gtl,Veenker,Norm,Norm,Single-Family Detached,1Story,9,5,1981,1987,Gable,WdShngl,Wood Shingles,Wd Shng,None,0,Gd,TA,CBlock,Has Basement,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,GasA,Gd,Yes,SBrkr,1842,0,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,Gd,Attached to House,1981,Fin,3,894,TA,TA,Y,857,72,0,0,0,0,NA,NA,NA,0,11,2006,WD,Normal,385000
662,60,Residential Low Density,52,46589,Pave,NA,IR2,Lvl,All Public Utilities,CulDSac,Gtl,North Ridge,Norm,Norm,Single-Family Detached,2 Story,8,7,1994,2005,Hip,CompShg,Vinyl Siding,Vinyl Siding,BrkFace,528,Gd,TA,PConc,Has Basement,Gd,Gd,No,GLQ,1361,Rec,180,88,1629,GasA,Ex,Yes,SBrkr,1686,762,0,2448,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attached to House,1994,RFn,3,711,TA,TA,Y,517,76,0,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,402000
849,50,Residential Low Density,75,45600,Pave,NA,IR2,Bnk,All Public Utilities,Inside,Gtl,Clear Creek,Norm,Norm,Single-Family Detached,1.5 Stories,6,8,1908,1997,Gable,CompShg,Wood Siding,Wood Siding,None,0,TA,TA,BrkTil,Has Basement,TA,TA,No,Unf,0,Unf,0,907,907,GasA,TA,Yes,SBrkr,1307,1051,0,2358,0,0,3,0,5,1,TA,10,Typ,1,Gd,Detached,1908,Unf,2,360,Fa,TA,Y,486,40,0,0,175,0,NA,NA,NA,0,9,2008,WD,Normal,240000
524,60,Residential Low Density,130,40094,Pave,NA,IR1,Bnk,All Public Utilities,Inside,Gtl,Edwards,PosN,PosN,Single-Family Detached,2 Story,10,5,2007,2008,Hip,CompShg,Cement Board,CmentBd,Stone,762,Ex,TA,PConc,Has Basement,Ex,TA,Gd,GLQ,2260,Unf,0,878,3138,GasA,Ex,Yes,SBrkr,3138,1538,0,4676,1,0,3,1,3,1,Ex,11,Typ,1,Gd,BuiltIn,2007,Fin,3,884,TA,TA,Y,208,406,0,0,0,0,NA,NA,NA,0,10,2007,New,Partial,184750
272,20,Residential Low Density,73,39104,Pave,NA,IR1,Low,All Public Utilities,CulDSac,Sev,Clear Creek,Norm,Norm,Single-Family Detached,1Story,7,7,1954,2005,Flat,Membran,Plywood,Plywood,None,0,TA,TA,CBlock,Has Basement,Gd,TA,Gd,LwQ,226,GLQ,1063,96,1385,GasA,Ex,Yes,SBrkr,1363,0,0,1363,1,0,1,0,2,1,TA,5,Mod,2,TA,Attached to House,1954,Unf,2,439,TA,TA,Y,81,0,0,0,0,0,NA,NA,NA,0,4,2008,WD,Normal,241500
1288,20,Residential Low Density,NA,36500,Pave,NA,IR1,Low,All Public Utilities,Inside,Mod,Clear Creek,Norm,Norm,Single-Family Detached,1Story,5,5,1964,1964,Gable,CompShg,Wood Siding,Wood Siding,BrkCmn,621,TA,Gd,CBlock,Has Basement,TA,TA,Av,Rec,812,Unf,0,812,1624,GasA,Fa,Yes,SBrkr,1582,0,0,1582,0,1,2,0,4,1,TA,7,Typ,0,NA,Attached to House,1964,Unf,2,390,TA,TA,N,168,198,0,0,0,0,NA,NA,NA,0,6,2006,WD,Normal,190000
1170,60,Residential Low Density,118,35760,Pave,NA,IR1,Lvl,All Public Utilities,CulDSac,Gtl,North Ridge,Norm,Norm,Single-Family Detached,2 Story,10,5,1995,1996,Hip,CompShg,Hard Board,Hard Board,BrkFace,1378,Gd,Gd,PConc,Has Basement,Ex,TA,Gd,GLQ,1387,Unf,0,543,1930,GasA,Ex,Yes,SBrkr,1831,1796,0,3627,1,0,3,1,4,1,Gd,10,Typ,1,TA,Attached to House,1995,Fin,3,807,TA,TA,Y,361,76,0,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,625000
1185,20,Residential Low Density,50,35133,Grvl,NA,Reg,Lvl,All Public Utilities,Inside,Mod,Timberland,Norm,Norm,Single-Family Detached,1Story,5,4,1963,1963,Hip,CompShg,Metal Siding,Metal Siding,BrkFace,226,TA,TA,CBlock,Has Basement,TA,TA,Gd,Rec,1159,Unf,0,413,1572,GasA,Gd,Yes,SBrkr,1572,0,0,1572,1,0,1,1,3,1,TA,5,Typ,2,TA,2Types,1963,RFn,3,995,TA,TA,Y,0,263,0,0,263,0,NA,NA,NA,0,5,2007,WD,Normal,186700
412,190,Residential Low Density,100,34650,Pave,NA,Reg,Bnk,All Public Utilities,Inside,Gtl,Gilbert,Norm,Norm,Two-Family Conversion,1Story,5,5,1955,1955,Hip,CompShg,Wood Siding,Wood Siding,None,0,TA,TA,CBlock,Has Basement,TA,TA,Mn,Rec,1056,Unf,0,0,1056,GasA,TA,No,SBrkr,1056,0,0,1056,1,0,1,0,3,1,TA,5,Typ,0,NA,Attached to House,1955,Fin,2,572,TA,TA,Y,264,0,0,0,0,0,NA,NA,NA,0,1,2006,WD,Normal,145000
530,20,Residential Low Density,NA,32668,Pave,NA,IR1,Lvl,All Public Utilities,CulDSac,Gtl,Crawford,Norm,Norm,Single-Family Detached,1Story,6,3,1957,1975,Hip,CompShg,Wood Siding,Stone,NA,NA,Gd,TA,PConc,Has Basement,TA,TA,No,Rec,1219,Unf,0,816,2035,GasA,TA,Yes,SBrkr,2515,0,0,2515,1,0,3,0,4,2,TA,9,Maj1,2,TA,Attached to House,1975,RFn,2,484,TA,TA,Y,0,0,200,0,0,0,NA,NA,NA,0,3,2007,WD,Alloca,200624
1191,190,Residential Low Density,NA,32463,Pave,NA,Reg,Low,All Public Utilities,Inside,Mod,Mitchel,Norm,Norm,Two-Family Conversion,1Story,4,4,1961,1975,Gable,CompShg,Metal Siding,Metal Siding,Stone,149,TA,Gd,CBlock,Has Basement,TA,TA,Av,BLQ,1159,Unf,0,90,1249,GasA,Ex,Yes,SBrkr,1622,0,0,1622,1,0,1,0,3,1,TA,7,Typ,1,TA,2Types,1975,Fin,4,1356,TA,TA,Y,439,0,0,0,0,0,NA,NA,NA,0,3,2007,WD,Normal,168000
172,20,Residential Low Density,141,31770,Pave,NA,IR1,Lvl,All Public Utilities,Corner,Gtl,North Ames,Norm,Norm,Single-Family Detached,1Story,6,5,1960,1960,Hip,CompShg,Brick Face,Plywood,Stone,112,TA,TA,CBlock,Has Basement,TA,Gd,Gd,BLQ,639,Unf,0,441,1080,GasA,Fa,Yes,SBrkr,1656,0,0,1656,1,0,1,0,3,1,TA,7,Typ,2,Gd,Attached to House,1960,Fin,2,528,TA,TA,P,210,62,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,215000
1058,60,Residential Low Density,NA,29959,Pave,NA,IR2,Lvl,All Public Utilities,FR2,Gtl,North Ridge,Norm,Norm,Single-Family Detached,2 Story,7,6,1994,1994,Gable,CompShg,Hard Board,Hard Board,None,0,Gd,TA,PConc,Has Basement,Gd,TA,No,GLQ,595,Unf,0,378,973,GasA,Ex,Yes,SBrkr,979,871,0,1850,0,0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,1994,Fin,2,467,TA,TA,Y,168,98,0,0,0,0,NA,NA,NA,0,1,2009,WD,Normal,248000
829,60,Residential Low Density,NA,28698,Pave,NA,IR2,Low,All Public Utilities,CulDSac,Sev,Clear Creek,Norm,Norm,Single-Family Detached,2 Story,5,5,1967,1967,Flat,Tar&Grv,Plywood,Plywood,None,0,TA,TA,PConc,Has Basement,TA,Gd,Gd,LwQ,249,ALQ,764,0,1013,GasA,TA,Yes,SBrkr,1160,966,0,2126,0,1,2,1,3,1,TA,7,Min2,0,NA,Attached to House,1967,Fin,2,538,TA,TA,Y,486,0,0,0,225,0,NA,NA,NA,0,6,2009,WD,Abnorml,185000
935,20,Residential Low Density,313,27650,Pave,NA,IR2,HLS,All Public Utilities,Inside,Mod,North Ames,PosA,Norm,Single-Family Detached,1Story,7,7,1960,2007,Flat,Tar&Grv,Wood Siding,Wood Siding,None,0,TA,TA,CBlock,Has Basement,Gd,TA,Gd,GLQ,425,Unf,0,160,585,GasA,Ex,Yes,SBrkr,2069,0,0,2069,1,0,2,0,4,1,Gd,9,Typ,1,Gd,Attached to House,1960,RFn,2,505,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,11,2008,WD,Normal,242000
693,60,Residential Low Density,42,26178,Pave,NA,IR1,Lvl,All Public Utilities,Inside,Mod,Timberland,Norm,Norm,Single-Family Detached,2 Story,7,5,1989,1990,Hip,CompShg,Metal Siding,Metal Siding,BrkFace,293,Gd,TA,PConc,Has Basement,Gd,TA,Gd,GLQ,965,Unf,0,245,1210,GasA,Ex,Yes,SBrkr,1238,1281,0,2519,1,0,2,1,4,1,Gd,9,Typ,2,Gd,Attached to House,1989,RFn,2,628,TA,TA,Y,320,27,0,0,0,0,NA,NA,NA,0,4,2006,WD,Normal,335000
1447,20,Residential Low Density,NA,26142,Pave,NA,IR1,Lvl,All Public Utilities,CulDSac,Gtl,Mitchel,Norm,Norm,Single-Family Detached,1Story,5,7,1962,1962,Gable,CompShg,Hard Board,Hard Board,BrkFace,189,TA,TA,CBlock,Has Basement,TA,TA,No,Rec,593,Unf,0,595,1188,GasA,TA,Yes,SBrkr,1188,0,0,1188,0,0,1,0,3,1,TA,6,Typ,0,NA,Attached to House,1962,Unf,1,312,TA,TA,P,261,39,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal,157900
198,75,Residential Low Density,174,25419,Pave,NA,Reg,Lvl,All Public Utilities,Corner,Gtl,North Ames,Artery,Norm,Single-Family Detached,2 Story,8,4,1918,1990,Gable,CompShg,Stucco,Stucco,None,0,Gd,Gd,PConc,Has Basement,TA,TA,No,GLQ,1036,LwQ,184,140,1360,GasA,Gd,Yes,SBrkr,1360,1360,392,3112,1,1,2,0,4,1,Gd,8,Typ,1,Ex,Detached,1918,Unf,2,795,TA,TA,Y,0,16,552,0,0,512,Ex,GdPrv,NA,0,3,2006,WD,Abnorml,235000
1384,30,Residential Low Density,NA,25339,Pave,NA,Reg,Lvl,All Public Utilities,Inside,Gtl,Sawyer,Norm,Norm,Single-Family Detached,1Story,5,7,1918,2007,Gable,CompShg,Wood Siding,Wood Siding,None,0,TA,Gd,BrkTil,Has Basement,TA,TA,No,Unf,0,Unf,0,816,816,GasA,Ex,Yes,SBrkr,1416,0,0,1416,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attached to House,2007,Unf,2,576,TA,TA,N,0,0,112,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,112000
877,20,Residential Low Density,94,25286,Pave,NA,Reg,HLS,All Public Utilities,Inside,Mod,Mitchel,Norm,Norm,Single-Family Detached,1Story,4,5,1963,1963,Gable,CompShg,Hard Board,Plywood,None,0,TA,TA,PConc,Has Basement,TA,TA,Gd,ALQ,633,Unf,0,431,1064,GasA,Gd,Yes,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,NA,Attached to House,1963,Unf,2,648,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,1,2007,WD,Normal,132250
589,20,Residential Low Density,65,25095,Pave,NA,IR1,Low,All Public Utilities,Inside,Sev,Clear Creek,Norm,Norm,Single-Family Detached,1Story,5,8,1968,2003,Flat,Tar&Grv,Wood Siding,Wood Siding,None,0,TA,TA,CBlock,Has Basement,TA,TA,Gd,GLQ,1324,Unf,0,113,1437,GasA,Ex,Yes,SBrkr,1473,0,0,1473,2,0,1,0,1,1,Ex,5,Typ,2,Gd,Attached to House,1968,Unf,1,452,TA,TA,Y,0,48,0,0,60,0,NA,NA,NA,0,6,2009,WD,Partial,143000
944,90,Residential Low Density,100,25000,Pave,NA,Reg,Low,All Public Utilities,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,5,4,1967,1967,Gable,CompShg,Hard Board,Plywood,None,0,TA,TA,CBlock,Has Basement,TA,TA,Av,Unf,0,Unf,0,1632,1632,GasA,TA,Yes,SBrkr,1632,0,0,1632,0,0,2,0,4,2,TA,8,Typ,0,NA,Attached to House,1967,Unf,2,576,TA,TA,P,0,0,0,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,143000
1261,60,Residential Low Density,NA,24682,Pave,NA,IR3,Lvl,All Public Utilities,CulDSac,Gtl,Gilbert,RRAn,Norm,Single-Family Detached,2 Story,6,5,1999,1999,Gable,CompShg,Vinyl Siding,Vinyl Siding,None,0,TA,TA,PConc,Has Basement,Gd,TA,No,Unf,0,Unf,0,841,841,GasA,Ex,Yes,SBrkr,892,783,0,1675,0,0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1999,Fin,2,502,TA,TA,Y,0,103,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,181000
940,70,Residential Low Density,NA,24090,Pave,NA,Reg,Lvl,All Public Utilities,Inside,Gtl,Clear Creek,Norm,Norm,Single-Family Detached,2 Story,7,7,1940,1950,Gable,CompShg,Metal Siding,Metal Siding,None,0,TA,Gd,CBlock,Has Basement,TA,TA,Mn,Unf,0,Unf,0,1032,1032,GasA,Ex,Yes,SBrkr,1207,1196,0,2403,0,0,2,0,4,1,TA,10,Typ,2,TA,Attached to House,1940,Unf,1,349,TA,TA,Y,56,0,318,0,0,0,NA,NA,NA,0,6,2010,COD,Normal,244400
1271,40,Residential Low Density,NA,23595,Pave,NA,Reg,Low,All Public Utilities,Inside,Sev,Clear Creek,Norm,Norm,Single-Family Detached,1Story,7,6,1979,1979,Shed,WdShake,Plywood,Plywood,None,0,Gd,TA,PConc,Has Basement,Gd,TA,Gd,GLQ,1258,Unf,0,74,1332,GasA,TA,Yes,SBrkr,1332,192,0,1524,2,0,0,1,0,1,Gd,4,Typ,1,TA,Attached to House,1979,Fin,2,586,TA,TA,Y,268,0,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal,260000
1108,60,Residential Low Density,168,23257,Pave,NA,IR3,HLS,All Public Utilities,CulDSac,Gtl,Gilbert,Norm,Norm,Single-Family Detached,2 Story,7,5,2006,2006,Gable,CompShg,Vinyl Siding,Vinyl Siding,None,0,Gd,TA,PConc,Has Basement,Ex,Gd,No,Unf,0,Unf,0,868,868,GasA,Ex,Yes,SBrkr,887,1134,0,2021,0,0,2,1,3,1,Gd,9,Typ,1,Gd,BuiltIn,2006,RFn,2,422,TA,TA,Y,0,100,0,0,0,0,NA,NA,NA,0,9,2006,New,Partial,274725
186,75,Residential Medium Density,90,22950,Pave,NA,IR2,Lvl,All Public Utilities,Inside,Gtl,Old Town,Artery,Norm,Single-Family Detached,2.5 Story,10,9,1892,1993,Gable,WdShngl,Wood Siding,Wood Siding,None,0,Gd,Gd,BrkTil,Has Basement,TA,TA,Mn,Unf,0,Unf,0,1107,1107,GasA,Ex,Yes,SBrkr,1518,1518,572,3608,0,0,2,1,4,1,Ex,12,Typ,2,TA,Detached,1993,Unf,3,840,Ex,TA,Y,0,260,0,0,410,0,NA,GdPrv,NA,0,6,2006,WD,Normal,475000
418,70,Residential Low Density,86,22420,Pave,NA,IR1,Lvl,All Public Utilities,Inside,Gtl,Crawford,Feedr,Norm,Single-Family Detached,2 Story,6,6,1918,1950,Hip,CompShg,Wood Siding,Stucco,None,0,TA,TA,BrkTil,Has Basement,Gd,TA,No,BLQ,1128,Unf,0,242,1370,GasW,TA,No,FuseA,1370,1254,0,2624,1,0,2,1,4,1,TA,10,Typ,1,Gd,Detached,1918,Unf,3,864,TA,TA,N,0,0,0,0,0,0,NA,NA,NA,0,11,2007,WD,Normal,239000
1431,60,Residential Low Density,60,21930,Pave,NA,IR3,Lvl,All Public Utilities,Inside,Gtl,Gilbert,RRAn,Norm,Single-Family Detached,2 Story,5,5,2005,2005,Gable,CompShg,Vinyl Siding,Vinyl Siding,None,0,Gd,TA,PConc,Has Basement,Gd,Gd,Av,Unf,0,Unf,0,732,732,GasA,Ex,Yes,SBrkr,734,1104,0,1838,0,0,2,1,4,1,TA,7,Typ,1,Gd,BuiltIn,2005,Fin,2,372,TA,TA,Y,100,40,0,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,192140
559,60,Residential Low Density,57,21872,Pave,NA,IR2,HLS,All Public Utilities,FR2,Gtl,Gilbert,Norm,Norm,Single-Family Detached,2 Story,7,5,1996,1997,Gable,CompShg,Hard Board,Hard Board,None,0,TA,TA,PConc,Has Basement,Gd,TA,Gd,GLQ,604,Unf,0,125,729,GasA,Ex,Yes,SBrkr,729,717,0,1446,0,1,2,1,3,1,TA,6,Typ,1,TA,Attached to House,1996,Unf,2,406,TA,TA,Y,264,22,0,0,0,0,NA,NA,NA,0,8,2008,WD,Normal,175000
564,50,Residential Low Density,66,21780,Pave,NA,Reg,Lvl,All Public Utilities,Inside,Gtl,Edwards,Norm,Norm,Single-Family Detached,1.5 Stories,6,7,1918,1950,Gable,CompShg,Wood Siding,Wood Siding,None,0,TA,TA,BrkTil,Has Basement,Gd,TA,Mn,Unf,0,Unf,0,1163,1163,GasA,Ex,Yes,SBrkr,1163,511,0,1674,0,0,2,0,4,1,TA,8,Typ,1,Gd,Detached,1955,Fin,2,396,TA,TA,N,72,36,0,0,144,0,NA,NA,NA,0,7,2008,WD,Normal,185000
1049,20,Residential Low Density,100,21750,Pave,NA,Reg,Lvl,All Public Utilities,Inside,Gtl,Mitchel,Norm,Norm,Single-Family Detached,1Story,5,4,1960,2006,Hip,CompShg,Hard Board,Hard Board,BrkFace,75,TA,Fa,Slab,No Basement,NA,NA,NA,NA,0,NA,0,0,0,GasA,TA,Yes,SBrkr,1771,0,0,1771,0,0,1,0,3,1,TA,9,Min1,1,TA,Attached to House,1960,Unf,2,336,TA,TA,Y,0,0,0,0,0,0,NA,GdPrv,NA,0,11,2009,WD,Normal,115000
423,20,Residential Low Density,100,21750,Pave,NA,Reg,HLS,All Public Utilities,Inside,Mod,Mitchel,Artery,Norm,Single-Family Detached,1Story,5,5,1954,1954,Hip,CompShg,Hard Board,Hard Board,None,0,TA,TA,CBlock,Has Basement,TA,TA,No,Unf,0,Unf,0,988,988,GasA,Ex,Yes,FuseA,988,0,0,988,0,0,1,0,2,1,TA,4,Typ,0,NA,Attached to House,1954,RFn,2,520,TA,TA,N,0,0,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,113000
727,20,Residential Low Density,NA,21695,Pave,NA,IR1,Lvl,All Public Utilities,Corner,Gtl,Crawford,Norm,Norm,Single-Family Detached,1Story,6,9,1988,2007,Hip,CompShg,Wood Siding,Plywood,BrkFace,260,Gd,Gd,CBlock,Has Basement,Gd,TA,No,GLQ,808,Unf,0,72,880,GasA,Ex,Yes,SBrkr,1680,0,0,1680,1,0,2,0,3,1,Gd,5,Typ,1,Gd,Attached to House,1988,Fin,2,540,TA,TA,Y,292,44,0,182,0,0,NA,NA,NA,0,12,2009,WD,Normal,222000
692,60,Residential Low Density,104,21535,Pave,NA,IR1,Lvl,All Public Utilities,Corner,Gtl,North Ridge,Norm,Norm,Single-Family Detached,2 Story,10,6,1994,1995,Gable,WdShngl,Hard Board,Hard Board,BrkFace,1170,Ex,TA,PConc,Has Basement,Ex,TA,Gd,GLQ,1455,Unf,0,989,2444,GasA,Ex,Yes,SBrkr,2444,1872,0,4316,0,1,3,1,4,1,Ex,10,Typ,2,Ex,Attached to House,1994,Fin,3,832,TA,TA,Y,382,50,0,0,0,0,NA,NA,NA,0,1,2007,WD,Normal,755000
121,80,Residential Low Density,NA,21453,Pave,NA,IR1,Low,All Public Utilities,CulDSac,Sev,Clear Creek,Norm,Norm,Single-Family Detached,Split Level,6,5,1969,1969,Flat,Metal,Plywood,Plywood,None,0,TA,TA,CBlock,Has Basement,TA,TA,Gd,ALQ,938,Unf,0,0,938,GasA,Ex,Yes,SBrkr,988,0,0,988,1,0,1,0,1,1,TA,4,Typ,2,TA,Attached to House,1969,Unf,2,540,TA,TA,Y,0,130,0,130,0,0,NA,NA,NA,0,10,2006,WD,Normal,180000
